,X,O,pred,diff
0,@USER1812,O,O,0
1,No,O,O,0
2,",",O,O,0
3,I,O,O,0
4,'m,O,O,0
5,not,O,O,0
6,.,O,O,0
7,It,O,O,0
8,'s,O,O,0
9,definitely,O,O,0
10,not,O,O,0
11,a,O,O,0
12,rapper,O,O,0
13,.,O,O,0
14,new,O,O,0
15,unique,O,O,0
16,backpack,O,O,0
17,!,O,O,0
18,combines,O,O,0
19,vintage,O,O,0
20,with,O,O,0
21,modern,O,O,0
22,!,O,O,0
23,URL1283,O,O,0
24,via,O,O,0
25,@USER415,O,O,0
26,RT,O,O,0
27,@USER767,O,O,0
28,:,O,O,0
29,It,O,O,0
30,'s,O,O,0
31,been,O,O,0
32,3,O,O,0
33,years,O,O,0
34,since,O,O,0
35,the,O,O,0
36,release,O,O,0
37,of,O,O,0
38,the,O,O,0
39,music,O,O,0
40,video,O,O,0
41,of,O,O,0
44,.,O,O,0
45,URL637,O,O,0
46,#openfollow,O,O,0
47,for,O,O,0
48,kpopers,O,O,0
49,just,O,O,0
50,retweet,O,O,0
51,RT,O,O,0
52,@USER526,O,O,0
53,:,O,O,0
54,empathy,O,O,0
55,4,O,O,0
57,....,O,O,0
58,the,O,O,0
59,worst,O,O,0
60,.,O,O,0
61,smh,O,O,0
62,smh,O,O,0
63,..,O,O,0
64,💔,O,O,0
65,RT,O,O,0
66,@USER2128,O,O,0
67,:,O,O,0
68,do,O,O,0
69,n't,O,O,0
70,jump,O,O,0
71,to,O,O,0
72,conclusions,O,O,0
73,.,O,O,0
74,do,O,O,0
75,n't,O,O,0
76,take,O,O,0
77,what,O,O,0
78,the,O,O,0
79,media,O,O,0
80,says,O,O,0
81,at,O,O,0
82,face,O,O,0
83,value,O,O,0
84,.,O,O,0
85,do,O,O,0
86,your,O,O,0
87,own,O,O,0
88,research,O,O,0
89,&,O,O,0
90,stay,O,O,0
91,informed,O,O,0
92,.,O,O,0
93,stop,O,O,0
94,falling,O,O,0
95,…,O,O,0
96,RT,O,O,0
97,@USER445,O,O,0
98,:,O,O,0
99,Spine,O,O,0
100,-,O,O,0
101,Chilling,O,O,0
102,Stories,O,O,0
103,of,O,O,0
104,Real,O,O,0
105,Life,O,O,0
106,Cannibals,O,O,0
107,",",O,O,0
108,Horrible,O,O,0
109,!,O,O,0
110,URL1310,O,O,0
111,URL1455,O,O,0
112,I,O,O,0
113,'ve,O,O,0
114,entered,O,O,0
115,for,O,O,0
116,a,O,O,0
117,chance,O,O,0
118,to,O,O,0
119,win,O,O,0
120,a,O,O,0
121,copy,O,O,0
122,of,O,O,0
123,@USER1136,O,O,0
124,on,O,O,0
125,XB1,O,O,0
126,from,O,O,0
127,@USER1071,O,O,0
128,thanks,O,O,0
129,to,O,O,0
130,@USER718,O,O,0
131,!,O,O,0
132,Enter,O,O,0
133,HERE,O,O,0
134,:,O,O,0
135,URL1617,O,O,0
136,Our,O,O,0
137,military,O,O,0
138,is,O,O,0
139,doing,O,O,0
140,everything,O,O,0
141,it,O,O,0
142,can,O,O,0
143,to,O,O,0
144,equip,O,O,0
146,'s,O,O,0
147,forces,O,O,0
148,so,O,O,0
149,our,O,O,0
150,troop,O,O,0
151,...,O,O,0
152,#MikeRogers,O,O,0
153,#quotation,O,O,0
154,URL1226,O,O,0
155,join,O,O,0
156,our,O,O,0
157,book,O,O,0
158,club,O,O,0
159,and,O,O,0
160,learn,O,O,0
161,about,O,O,0
162,a,O,O,0
163,lot,O,O,0
164,of,O,O,0
165,great,O,O,0
166,books,O,O,0
167,URL1049,O,O,0
168,RT,O,O,0
169,@USER2270,O,O,0
170,:,O,O,0
171,Keep,O,O,0
172,in,O,O,0
173,mind,O,O,0
174,that,O,O,0
175,some,O,O,0
176,things,O,O,0
177,will,O,O,0
178,never,O,O,0
179,make,O,O,0
180,sense,O,O,0
181,",",O,O,0
182,no,O,O,0
183,matter,O,O,0
184,how,O,O,0
185,hard,O,O,0
186,you,O,O,0
187,try,O,O,0
188,to,O,O,0
189,figure,O,O,0
190,it,O,O,0
191,out,O,O,0
192,.,O,O,0
193,Let,O,O,0
194,go,O,O,0
195,",",O,O,0
196,breathe,O,O,0
197,deeply,O,O,0
198,&,O,O,0
199,l,O,O,0
200,…,O,O,0
201,RT,O,O,0
202,@USER487,O,O,0
203,:,O,O,0
204,Where,O,O,0
205,is,O,O,0
207,Where,O,O,0
208,is,O,O,0
210,full,O,O,0
211,album,O,O,0
212,Where,O,O,0
213,is,O,O,0
215,:,O,O,0
216,X,O,O,0
217,Where,O,O,0
218,is,O,O,0
221,?,O,O,0
222,Where,O,O,0
223,is,O,O,0
225,?,O,O,0
226,RT,O,O,0
227,@USER2437,O,O,0
228,:,O,O,0
229,If,O,O,0
230,you,O,O,0
231,have,O,O,0
232,short,O,O,0
233,memory,O,O,0
234,let,O,O,0
235,me,O,O,0
236,inform,O,O,0
237,you,O,O,0
238,after,O,O,0
239,signing,O,O,0
242,made,O,O,0
243,infamous,O,O,0
245,deal,O,O,0
246,with,O,O,0
248,.,O,O,0
249,☺,O,O,0
250,URL224,O,O,0
251,…,O,O,0
252,RT,O,O,0
253,@USER1218,O,O,0
254,:,O,O,0
255,@USER265,O,O,0
256,Blessed,O,O,0
257,Sunday,O,O,0
258,😊,O,O,0
259,Just,O,O,0
260,because,O,O,0
261,a,O,O,0
262,nigga,O,O,0
263,f*cks,O,O,0
264,you,O,O,0
265,",",O,O,0
266,Does,O,O,0
267,Not,O,O,0
268,mean,O,O,0
269,he,O,O,0
270,loves,O,O,0
271,you,O,O,0
272,!!,O,O,0
273,Get,O,O,0
274,Weather,O,O,0
275,Updates,O,O,0
276,from,O,O,0
278,10:56:06,O,O,0
279,"""",O,O,0
280,@USER1771,O,O,0
281,:,O,O,0
282,Denial,O,O,0
283,has,O,O,0
284,become,O,O,0
285,such,O,O,0
286,a,O,O,0
287,comfort,O,O,0
288,for,O,O,0
289,some,O,O,0
290,that,O,O,0
291,the,O,O,0
292,truth,O,O,0
293,has,O,O,0
294,become,O,O,0
295,an,O,O,0
296,illusion,O,O,0
297,.,O,O,0
298,"""",O,O,0
299,"""",O,O,0
300,You,O,O,0
301,should,O,O,0
302,know,O,O,0
303,",",O,O,0
304,that,O,O,0
305,if,O,O,0
306,you,O,O,0
307,come,O,O,0
308,any,O,O,0
309,closer,O,O,0
310,..,O,O,0
311,I,O,O,0
312,wo,O,O,0
313,n't,O,O,0
314,let,O,O,0
315,you,O,O,0
316,go,O,O,0
317,.,O,O,0
318,"""",O,O,0
319,#NowPlaying,O,O,0
323,of,O,O,0
324,@USER1659,O,O,0
325,#baseball,O,O,0
328,considers,O,O,0
329,retirement,O,O,0
330,after,O,O,0
333,URL87,O,O,0
334,#championLife,O,O,0
335,RT,O,O,0
336,@USER2393,O,O,0
337,:,O,O,0
339,game,O,O,0
340,wo,O,O,0
341,n't,O,O,0
342,start,O,O,0
343,until,O,O,0
344,they,O,O,0
345,get,O,O,0
346,those,O,O,0
347,rings,O,O,0
348,right,O,O,0
349,?,O,O,0
350,See,O,O,0
351,you,O,O,0
352,at,O,O,0
353,10:45,O,O,0
354,#howcome,O,O,0
355,condoms,O,O,0
356,smell,O,O,0
357,so,O,O,0
358,bad,O,O,0
359,!!!!!!,O,O,0
360,#nothappy,O,O,0
361,that,O,O,0
363,has,O,O,0
364,lost,O,O,0
365,the,O,O,0
366,#rugbysevens,O,O,0
367,.,O,O,0
368,@USER1012,O,O,0
369,&,O,O,0
370,I,O,O,0
371,are,O,O,0
372,talking,O,O,0
373,about,O,O,0
374,optics,O,O,0
375,entrepreneurship,O,O,0
376,&,O,O,0
377,"""",O,O,0
381,"""",O,O,0
382,tonight,O,O,0
385,E14,O,O,0
386,-,O,O,0
387,525,O,O,0
388,6,O,O,0
389,p,O,O,0
390,-,O,O,0
391,8,O,O,0
392,p,O,O,0
393,for,O,O,0
394,URL51,O,O,0
395,1,O,O,0
396,",",O,O,0
397,2,O,O,0
398,",",O,O,0
399,3,O,O,0
400,",",O,O,0
401,4,O,O,0
402,",",O,O,0
403,5,O,O,0
406,!,O,O,0
407,;,O,O,0
408,idk,O,O,0
409,why,O,O,0
410,...,O,O,0
411,but,O,O,0
412,ifeel,O,O,0
413,like,O,O,0
414,talkin,O,O,0
415,dirty,O,O,0
416,O_o,O,O,0
417,@,O,O,0
420,is,O,O,0
421,about,O,O,0
422,to,O,O,0
423,finish,O,O,0
424,the,O,O,0
425,rest,O,O,0
426,of,O,O,0
427,the,O,O,0
428,season,O,O,0
429,for,O,O,0
430,the,O,O,0
432,...,O,O,0
433,he,O,O,0
434,'s,O,O,0
435,gon,O,O,0
436,na,O,O,0
437,get,O,O,0
438,them,O,O,0
439,a,O,O,0
440,win,O,O,0
441,this,O,O,0
442,week,O,O,0
443,@USER90,O,O,0
445,is,O,O,0
446,going,O,O,0
447,to,O,O,0
448,have,O,O,0
449,the,O,O,0
451,fireworks,O,O,0
452,on,O,O,0
453,.,O,O,0
454,They,O,O,0
455,are,O,O,0
456,amazing,O,O,0
457,-,O,O,0
458,at,O,O,0
459,least,O,O,0
460,in,O,O,0
461,person,O,O,0
462,they,O,O,0
463,were,O,O,0
464,two,O,O,0
465,years,O,O,0
466,ago,O,O,0
467,.,O,O,0
468,@USER153,O,O,0
469,I,O,O,0
470,'m,O,O,0
471,scoopin,O,O,0
473,right,O,O,0
474,now,O,O,0
475,@USER272,O,O,0
476,I,O,O,0
477,'m,O,O,0
478,from,O,O,0
480,.,O,O,0
481,Where,O,O,0
482,'s,O,O,0
484,?,O,O,0
485,@USER288,O,O,0
486,i,O,O,0
487,did,O,O,0
488,tooo,O,O,0
489,!,O,O,0
490,this,O,O,0
491,is,O,O,0
492,getting,O,O,0
493,goood,O,O,0
494,.,O,O,0
495,lol,O,O,0
496,@USER312,O,O,0
497,well,O,O,0
498,I,O,O,0
499,'m,O,O,0
500,fuckn,O,O,0
501,amazin,O,O,0
502,..,O,O,0
503,lol,O,O,0
504,...,O,O,0
505,tottaly,O,O,0
506,awsome,O,O,0
507,who,O,O,0
508,'s,O,O,0
509,bad,O,O,0
510,now,O,O,0
511,lol,O,O,0
512,@USER349,O,O,0
513,I,O,O,0
514,already,O,O,0
515,have,O,O,0
516,sis,O,O,0
517,!!!,O,O,0
518,Girl,O,O,0
519,they,O,O,0
520,hate,O,O,0
521,me,O,O,0
522,!,O,O,0
523,@USER355,O,O,0
524,yea,O,O,0
525,I,O,O,0
526,was,O,O,0
527,wondering,O,O,0
528,if,O,O,0
529,after,O,O,0
530,they,O,O,0
531,banned,O,O,0
532,the,O,O,0
534,we,O,O,0
535,got,O,O,0
536,a,O,O,0
537,new,O,O,0
538,one,O,O,0
539,@USER357,O,O,0
540,:D,O,O,0
541,@USER367,O,O,0
542,lmbo,O,O,0
543,@USER403,O,O,0
544,the,O,O,0
545,one,O,O,0
546,you,O,O,0
547,said,O,O,0
548,you,O,O,0
549,was,O,O,0
550,gon,O,O,0
551,na,O,O,0
552,make,O,O,0
553,.,O,O,0
554,the,O,O,0
555,one,O,O,0
556,i,O,O,0
557,bought,O,O,0
558,everything,O,O,0
559,for,O,O,0
560,and,O,O,0
561,have,O,O,0
562,been,O,O,0
563,waiting,O,O,0
564,for,O,O,0
565,?,O,O,0
566,@USER446,O,O,0
567,how,O,O,0
568,??!,O,O,0
569,@USER447,O,O,0
570,miss,O,O,0
571,yhuuuu,O,O,0
572,!,O,O,0
573,@USER547,O,O,0
574,that,O,O,0
575,is,O,O,0
576,the,O,O,0
577,most,O,O,0
578,stunning,O,O,0
579,creature,O,O,0
580,I,O,O,0
581,have,O,O,0
582,ever,O,O,0
583,seen,O,O,0
584,@USER600,O,O,0
585,Yeah,O,O,0
586,I,O,O,0
587,m,O,O,0
588,goodie,O,O,0
589,just,O,O,0
590,in,O,O,0
591,the,O,O,0
592,lab,O,O,0
593,working,O,O,0
594,...,O,O,0
595,Wow,O,O,0
596,!,O,O,0
597,I,O,O,0
598,need,O,O,0
599,to,O,O,0
600,be,O,O,0
601,where,O,O,0
602,you,O,O,0
603,at,O,O,0
604,!,O,O,0
605,lol,O,O,0
606,let,O,O,0
607,me,O,O,0
608,visit,O,O,0
609,@USER678,O,O,0
610,that,O,O,0
611,'s,O,O,0
612,a,O,O,0
613,tight,O,O,0
614,score,O,O,0
615,.,O,O,0
616,@USER688,O,O,0
617,I,O,O,0
618,hear,O,O,0
619,enough,O,O,0
620,talking,O,O,0
621,",",O,O,0
622,just,O,O,0
623,turn,O,O,0
624,round,O,O,0
625,keep,O,O,0
626,walking,O,O,0
627,haha,O,O,0
628,in,O,O,0
629,that,O,O,0
630,part,O,O,0
631,@USER771,O,O,0
632,that,O,O,0
633,'s,O,O,0
634,ladybug,O,O,0
635,@USER842,O,O,0
636,hi,O,O,0
637,",",O,O,0
638,how,O,O,0
639,are,O,O,0
640,you,O,O,0
641,good,O,O,0
642,?,O,O,0
643,URL142,O,O,0
644,@USER915,O,O,0
645,oh,O,O,0
646,nasty,O,O,0
647,perv,O,O,0
648,lol,O,O,0
649,@USER935,O,O,0
650,aight,O,O,0
651,leaving,O,O,0
652,my,O,O,0
653,crib,O,O,0
654,in,O,O,0
655,20,O,O,0
656,minutes,O,O,0
657,@USER1007,O,O,0
658,has,O,O,0
659,no,O,O,0
660,sense,O,O,0
661,!!!,O,O,0
662,LOL,O,O,0
663,@USER1022,O,O,0
664,I,O,O,0
665,had,O,O,0
666,potted,O,O,0
667,shrimp,O,O,0
668,last,O,O,0
669,night,O,O,0
670,.,O,O,0
671,Except,O,O,0
672,someone,O,O,0
673,else,O,O,0
674,ordered,O,O,0
675,it,O,O,0
676,&,O,O,0
677,I,O,O,0
678,could,O,O,0
679,n't,O,O,0
680,work,O,O,0
681,out,O,O,0
682,why,O,O,0
683,we,O,O,0
684,had,O,O,0
685,creme,O,O,0
686,brulee,O,O,0
687,for,O,O,0
688,a,O,O,0
689,starter,O,O,0
690,...,O,O,0
691,@USER1031,O,O,0
692,lol,O,O,0
693,you,O,O,0
694,'re,O,O,0
695,lame,O,O,0
696,;),O,O,0
697,@USER1039,O,O,0
698,benadryl,O,O,0
699,is,O,O,0
700,your,O,O,0
701,friend,O,O,0
702,lol,O,O,0
703,@USER1074,O,O,0
704,@USER2632,O,O,0
705,@USER1318,O,O,0
706,@USER1108,O,O,0
707,can,O,O,0
708,i,O,O,0
709,have,O,O,0
710,your,O,O,0
711,email,O,O,0
712,so,O,O,0
713,i,O,O,0
714,can,O,O,0
715,invite,O,O,0
716,you,O,O,0
717,to,O,O,0
718,a,O,O,0
719,sample,O,O,0
720,sale,O,O,0
721,@USER1094,O,O,0
722,*,O,O,0
723,jumps,O,O,0
724,down,O,O,0
725,walking,O,O,0
726,over,O,O,0
727,to,O,O,0
728,you,O,O,0
729,singing,O,O,0
730,*,O,O,0
731,Why,O,O,0
732,do,O,O,0
733,you,O,O,0
734,do,O,O,0
735,what,O,O,0
736,you,O,O,0
737,do,O,O,0
738,to,O,O,0
739,me,O,O,0
740,?,O,O,0
741,Yea,O,O,0
742,!,O,O,0
743,Why,O,O,0
744,wo,O,O,0
745,n't,O,O,0
746,you,O,O,0
747,answer,O,O,0
748,me,O,O,0
749,answer,O,O,0
750,me,O,O,0
751,!,O,O,0
752,Yea,O,O,0
753,!,O,O,0
754,@USER1144,O,O,0
755,right,O,O,0
756,back,O,O,0
757,atcha,O,O,0
758,bro,O,O,0
759,:),O,O,0
760,@USER1163,O,O,0
761,haha,O,O,0
762,u,O,O,0
763,wish,O,O,0
764,!,O,O,0
765,Just,O,O,0
766,wait,O,O,0
767,for,O,O,0
768,me,O,O,0
769,to,O,O,0
770,fins,O,O,0
771,a,O,O,0
772,cool,O,O,0
773,name,O,O,0
774,tht,O,O,0
775,has,O,O,0
777,+,O,O,0
779,in,O,O,0
780,it,O,O,0
781,lol,O,O,0
782,(,O,O,0
783,everything,O,O,0
784,sounds,O,O,0
785,bad,O,O,0
786,:(,O,O,0
787,),O,O,0
788,@USER1255,O,O,0
789,Not,O,O,0
790,as,O,O,0
791,bent,O,O,0
792,as,O,O,0
793,my,O,O,0
794,finger,O,O,0
795,!,O,O,0
796,It,O,O,0
797,looks,O,O,0
798,freaky,O,O,0
799,!,O,O,0
800,@USER1286,O,O,0
801,@USER2183,O,O,0
802,nigga,O,O,0
803,u,O,O,0
804,quit,O,O,0
805,to,O,O,0
806,@USER1290,O,O,0
807,give,O,O,0
808,him,O,O,0
809,my,O,O,0
810,love,O,O,0
811,!,O,O,0
812,@USER1369,O,O,0
813,@USER2166,O,O,0
814,Woooooooow,O,O,0
815,@USER1381,O,O,0
816,of,O,O,0
817,course,O,O,0
818,she,O,O,0
819,is,O,O,0
820,lol,O,O,0
821,@USER1435,O,O,0
822,ha,O,O,0
823,!,O,O,0
824,I,O,O,0
825,'m,O,O,0
826,gon,O,O,0
827,na,O,O,0
828,go,O,O,0
829,with,O,O,0
830,yes,O,O,0
831,@USER1439,O,O,0
832,I,O,O,0
833,'M,O,O,0
834,on,O,O,0
837,and,O,O,0
838,their,O,O,0
839,on,O,O,0
840,.,O,O,0
