,X,O,pred,diff
483,missiuri,LOC,O,1
853,china,LOC,O,1
1549,",",LOC,O,1
1552,",",LOC,O,1
5933,North,LOC,O,1
5934,Ends,LOC,O,1
10936,California,LOC,O,1
12185,OH,LOC,O,1
12780,Triangulation,LOC,O,1
12781,Peak,LOC,O,1
12783,OR,LOC,O,1
15335,91,LOC,O,1
15336,Eastbound,LOC,O,1
16144,Nayarit,LOC,O,1
16181,USA,LOC,O,1
16960,-,LOC,O,1
16961,day,LOC,O,1
17127,leesville,LOC,O,1
17274,KC,LOC,O,1
17282,I-470,LOC,O,1
17283,WB,LOC,O,1
17284,(,LOC,O,1
17290,DOUGLAS,LOC,O,1
17291,ST,LOC,O,1
17982,Seoul,LOC,O,1
18971,Nice,LOC,O,1
