,X,O,pred,diff
472,Jo,PER,O,1
778,loewe,PER,O,1
2839,Warren,PER,O,1
2840,Buffet,PER,O,1
5313,blackangel94a,PER,O,1
5334,hansol,PER,O,1
5425,Joebarly,PER,O,1
5427,HitMaker,PER,O,1
5428,Q,PER,O,1
5955,ant,PER,O,1
5956,and,PER,O,1
5957,dec,PER,O,1
6257,the,PER,O,1
7466,Ang,PER,O,1
7467,saya,PER,O,1
8275,GOD,PER,O,1
8431,CARI,PER,O,1
8588,marine,PER,O,1
8589,le,PER,O,1
8590,pen,PER,O,1
8868,park,PER,O,1
8869,bom,PER,O,1
8942,EMY,PER,O,1
9523,L,PER,O,1
9531,GD,PER,O,1
9535,kush,PER,O,1
9539,iKON,PER,O,1
10031,Temme,PER,O,1
10039,Haina,PER,O,1
10092,Imogen,PER,O,1
11273,---==AdamCSmith==---,PER,O,1
11546,Spongebob,PER,O,1
12147,Gerime,PER,O,1
12148,The,PER,O,1
12149,Menace,PER,O,1
13651,Al,PER,O,1
13652,Worden,PER,O,1
14548,jimin,PER,O,1
14736,tisha,PER,O,1
14747,xxxdavid,PER,O,1
14954,boob,PER,O,1
15423,-,PER,O,1
15424,tzu,PER,O,1
17579,Dj,PER,O,1
17580,Friday,PER,O,1
17931,Zentangle,PER,O,1
17936,thecrayonkitchen,PER,O,1
18536,Guru,PER,O,1
18537,ji,PER,O,1
