,X,O,pred,diff
320,Get,MISC,O,1
321,Another,MISC,O,1
322,Boyfriend,MISC,O,1
404,Teen,MISC,O,1
533,indian,MISC,O,1
1145,Italians,MISC,O,1
1377,Comic,MISC,O,1
1378,Sans,MISC,O,1
1843,Came,MISC,O,1
1844,on,MISC,O,1
1977,FC,MISC,O,1
1978,Menu,MISC,O,1
1979,Utility,MISC,O,1
1980,2.0,MISC,O,1
2582,Halloween,MISC,O,1
2654,warped,MISC,O,1
2655,tour,MISC,O,1
2789,3A,MISC,O,1
2790,women,MISC,O,1
2791,'s,MISC,O,1
2792,soccer,MISC,O,1
2793,championship,MISC,O,1
2809,TRUE,MISC,O,1
2810,BLOOD,MISC,O,1
3282,New,MISC,O,1
3283,Era,MISC,O,1
3297,NEW,MISC,O,1
3298,ERA,MISC,O,1
3481,ampme,MISC,O,1
3608,Pisces,MISC,O,1
3636,Mean,MISC,O,1
3637,Girls,MISC,O,1
3789,Mass,MISC,O,1
3790,Effect,MISC,O,1
3964,grammy,MISC,O,1
4419,World,MISC,O,1
4420,Cup,MISC,O,1
4713,future,MISC,O,1
4715,rich,MISC,O,1
4716,homie,MISC,O,1
4717,quan,MISC,O,1
4768,purple,MISC,O,1
4769,reign,MISC,O,1
4920,Revealed,MISC,O,1
4921,Radio,MISC,O,1
5005,Doppler,MISC,O,1
5430,Widd,MISC,O,1
5431,It,MISC,O,1
5492,Get,MISC,O,1
5537,DOLCE,MISC,O,1
5538,AMORE,MISC,O,1
5734,The,MISC,O,1
5735,Wrong,MISC,O,1
5736,Trousers,MISC,O,1
5931,GOLDFISH,MISC,O,1
5945,dick,MISC,O,1
5946,and,MISC,O,1
5947,dom,MISC,O,1
5948,in,MISC,O,1
5949,da,MISC,O,1
5950,bungalow,MISC,O,1
5980,Jamaican,MISC,O,1
6067,T20,MISC,O,1
6080,Moon,MISC,O,1
6081,Babe,MISC,O,1
6146,Say,MISC,O,1
6147,It,MISC,O,1
6174,russian,MISC,O,1
6213,and,MISC,O,1
6214,I,MISC,O,1
6466,Falmouth,MISC,O,1
6467,GP,MISC,O,1
6468,of,MISC,O,1
6469,the,MISC,O,1
6470,Sea,MISC,O,1
6471,2017,MISC,O,1
6560,Another,MISC,O,1
6561,Day,MISC,O,1
6562,(,MISC,O,1
6563,Perfecto,MISC,O,1
6564,Mix,MISC,O,1
6565,),MISC,O,1
6597,Ambassador,MISC,O,1
6748,PABEBE,MISC,O,1
6749,WAVE,MISC,O,1
6942,Friends,MISC,O,1
7262,Middle,MISC,O,1
7263,-,MISC,O,1
7264,Eastern,MISC,O,1
7336,Meathook,MISC,O,1
7337,Seed,MISC,O,1
7441,JaDine,MISC,O,1
7442,Day,MISC,O,1
7576,Libra,MISC,O,1
7661,English,MISC,O,1
7701,Twitterettes,MISC,O,1
7772,Work,MISC,O,1
8336,Sounds,MISC,O,1
8337,Live,MISC,O,1
8338,Feels,MISC,O,1
8339,Live,MISC,O,1
8409,The,MISC,O,1
8410,Fresh,MISC,O,1
8411,Prince,MISC,O,1
8412,Of,MISC,O,1
8413,Bel,MISC,O,1
8414,Air,MISC,O,1
8491,P9,MISC,O,1
8504,P9,MISC,O,1
8512,P9,MISC,O,1
8513,Plus,MISC,O,1
8922,Viagra,MISC,O,1
9004,Deadpool,MISC,O,1
9687,I,MISC,O,1
9688,Know,MISC,O,1
9689,What,MISC,O,1
9690,You,MISC,O,1
9691,Did,MISC,O,1
9692,Last,MISC,O,1
9693,Summer,MISC,O,1
9791,feminists,MISC,O,1
9869,Iranian,MISC,O,1
9874,Muslims,MISC,O,1
9878,Quran,MISC,O,1
10302,Libra,MISC,O,1
10455,Climax,MISC,O,1
10458,YG,MISC,O,1
10459,Family,MISC,O,1
10460,Power,MISC,O,1
10461,2014,MISC,O,1
10462,Tour,MISC,O,1
10780,VALENTINE,MISC,O,1
10781,'S,MISC,O,1
10976,US,MISC,O,1
10986,Body,MISC,O,1
10987,Say,MISC,O,1
10998,The,MISC,O,1
10999,Snake,MISC,O,1
11092,Doctor,MISC,O,1
11093,Who,MISC,O,1
11100,Doctor,MISC,O,1
11101,Who,MISC,O,1
11123,Aries,MISC,O,1
11130,Hispanic,MISC,O,1
11162,Obamacare,MISC,O,1
11182,Olympic,MISC,O,1
11348,ACM,MISC,O,1
11349,Awards,MISC,O,1
11356,Mad,MISC,O,1
11357,men,MISC,O,1
11376,Sopranos,MISC,O,1
11982,Godfather,MISC,O,1
12228,Muslims,MISC,O,1
12364,FS,MISC,O,1
12365,100,MISC,O,1
12456,Father,MISC,O,1
12457,'s,MISC,O,1
12458,Day,MISC,O,1
12919,Govian,MISC,O,1
13112,motel,MISC,O,1
13147,panjabi,MISC,O,1
13233,-,MISC,O,1
13420,John,MISC,O,1
13421,13:7,MISC,O,1
13633,2,MISC,O,1
13634,Corinthians,MISC,O,1
13635,1:24,MISC,O,1
13648,15,MISC,O,1
13662,Tell,MISC,O,1
13663,Me,MISC,O,1
13664,What,MISC,O,1
13665,Is,MISC,O,1
13666,Love,MISC,O,1
14183,American,MISC,O,1
14265,EX,MISC,O,1
14266,',MISC,O,1
14267,ACT,MISC,O,1
14296,Full,MISC,O,1
14297,House,MISC,O,1
14310,VAT,MISC,O,1
14344,Csgo,MISC,O,1
14643,svtfoe,MISC,O,1
15082,World,MISC,O,1
15083,Tour,MISC,O,1
15180,Leadership,MISC,O,1
15181,Summit,MISC,O,1
15749,cs:go,MISC,O,1
15819,43:2,MISC,O,1
16234,season,MISC,O,1
16235,13,MISC,O,1
16327,The,MISC,O,1
16330,Daily,MISC,O,1
16760,'s,MISC,O,1
16761,Gospel,MISC,O,1
16841,Pichu,MISC,O,1
17042,article,MISC,O,1
17043,50,MISC,O,1
17134,liberal,MISC,O,1
17156,bo1,MISC,O,1
17157,tournaments,MISC,O,1
17195,dragonhardt,MISC,O,1
17785,Jr.,MISC,O,1
17786,Gold,MISC,O,1
