X,O,pred,diff
@USER1812,O,O,0
No,O,O,0
",",O,O,0
I,O,O,0
'm,O,O,0
not,O,O,0
.,O,O,0
It,O,O,0
's,O,O,0
definitely,O,O,0
not,O,O,0
a,O,O,0
rapper,O,O,0
.,O,O,0
new,O,O,0
unique,O,O,0
backpack,O,O,0
!,O,O,0
combines,O,O,0
vintage,O,O,0
with,O,O,0
modern,O,O,0
!,O,O,0
URL1283,O,O,0
via,O,O,0
@USER415,O,O,0
RT,O,O,0
@USER767,O,O,0
:,O,O,0
It,O,O,0
's,O,O,0
been,O,O,0
3,O,O,0
years,O,O,0
since,O,O,0
the,O,O,0
release,O,O,0
of,O,O,0
the,O,O,0
music,O,O,0
video,O,O,0
of,O,O,0
Burning,MISC,MISC,0
Desire,MISC,MISC,0
.,O,O,0
URL637,O,O,0
#openfollow,O,O,0
for,O,O,0
kpopers,O,O,0
just,O,O,0
retweet,O,O,0
RT,O,O,0
@USER526,O,O,0
:,O,O,0
empathy,O,O,0
4,O,O,0
Kesha,PER,PER,0
....,O,O,0
the,O,O,0
worst,O,O,0
.,O,O,0
smh,O,O,0
smh,O,O,0
..,O,O,0
💔,O,O,0
RT,O,O,0
@USER2128,O,O,0
:,O,O,0
do,O,O,0
n't,O,O,0
jump,O,O,0
to,O,O,0
conclusions,O,O,0
.,O,O,0
do,O,O,0
n't,O,O,0
take,O,O,0
what,O,O,0
the,O,O,0
media,O,O,0
says,O,O,0
at,O,O,0
face,O,O,0
value,O,O,0
.,O,O,0
do,O,O,0
your,O,O,0
own,O,O,0
research,O,O,0
&,O,O,0
stay,O,O,0
informed,O,O,0
.,O,O,0
stop,O,O,0
falling,O,O,0
…,O,O,0
RT,O,O,0
@USER445,O,O,0
:,O,O,0
Spine,O,O,0
-,O,O,0
Chilling,O,O,0
Stories,O,O,0
of,O,O,0
Real,O,O,0
Life,O,O,0
Cannibals,O,O,0
",",O,O,0
Horrible,O,O,0
!,O,O,0
URL1310,O,O,0
URL1455,O,O,0
I,O,O,0
've,O,O,0
entered,O,O,0
for,O,O,0
a,O,O,0
chance,O,O,0
to,O,O,0
win,O,O,0
a,O,O,0
copy,O,O,0
of,O,O,0
@USER1136,O,O,0
on,O,O,0
XB1,O,O,0
from,O,O,0
@USER1071,O,O,0
thanks,O,O,0
to,O,O,0
@USER718,O,O,0
!,O,O,0
Enter,O,O,0
HERE,O,O,0
:,O,O,0
URL1617,O,O,0
Our,O,O,0
military,O,O,0
is,O,O,0
doing,O,O,0
everything,O,O,0
it,O,O,0
can,O,O,0
to,O,O,0
equip,O,O,0
Iraq,LOC,LOC,0
's,O,O,0
forces,O,O,0
so,O,O,0
our,O,O,0
troop,O,O,0
...,O,O,0
#MikeRogers,O,O,0
#quotation,O,O,0
URL1226,O,O,0
join,O,O,0
our,O,O,0
book,O,O,0
club,O,O,0
and,O,O,0
learn,O,O,0
about,O,O,0
a,O,O,0
lot,O,O,0
of,O,O,0
great,O,O,0
books,O,O,0
URL1049,O,O,0
RT,O,O,0
@USER2270,O,O,0
:,O,O,0
Keep,O,O,0
in,O,O,0
mind,O,O,0
that,O,O,0
some,O,O,0
things,O,O,0
will,O,O,0
never,O,O,0
make,O,O,0
sense,O,O,0
",",O,O,0
no,O,O,0
matter,O,O,0
how,O,O,0
hard,O,O,0
you,O,O,0
try,O,O,0
to,O,O,0
figure,O,O,0
it,O,O,0
out,O,O,0
.,O,O,0
Let,O,O,0
go,O,O,0
",",O,O,0
breathe,O,O,0
deeply,O,O,0
&,O,O,0
l,O,O,0
…,O,O,0
RT,O,O,0
@USER487,O,O,0
:,O,O,0
Where,O,O,0
is,O,O,0
AKMU,ORG,O,1
Where,O,O,0
is,O,O,0
MADE,ORG,O,1
full,O,O,0
album,O,O,0
Where,O,O,0
is,O,O,0
EXIT,ORG,O,1
:,O,O,0
X,O,O,0
Where,O,O,0
is,O,O,0
YGGG,ORG,O,1
Saddest,ORG,O,1
?,O,O,0
Where,O,O,0
is,O,O,0
Minzy,PER,PER,0
?,O,O,0
RT,O,O,0
@USER2437,O,O,0
:,O,O,0
If,O,O,0
you,O,O,0
have,O,O,0
short,O,O,0
memory,O,O,0
let,O,O,0
me,O,O,0
inform,O,O,0
you,O,O,0
after,O,O,0
signing,O,O,0
COD,O,ORG,1
Benazir,PER,ORG,1
made,O,O,0
infamous,O,O,0
NRO,ORG,O,1
deal,O,O,0
with,O,O,0
Mushi,PER,PER,0
.,O,O,0
☺,O,O,0
URL224,O,O,0
…,O,O,0
RT,O,O,0
@USER1218,O,O,0
:,O,O,0
@USER265,O,O,0
Blessed,O,O,0
Sunday,O,O,0
😊,O,O,0
Just,O,O,0
because,O,O,0
a,O,O,0
nigga,O,O,0
f*cks,O,O,0
you,O,O,0
",",O,O,0
Does,O,O,0
Not,O,O,0
mean,O,O,0
he,O,O,0
loves,O,O,0
you,O,O,0
!!,O,O,0
Get,O,O,0
Weather,O,O,0
Updates,O,O,0
from,O,O,0
theweatherchannel,ORG,O,1
10:56:06,O,O,0
"""",O,O,0
@USER1771,O,O,0
:,O,O,0
Denial,O,O,0
has,O,O,0
become,O,O,0
such,O,O,0
a,O,O,0
comfort,O,O,0
for,O,O,0
some,O,O,0
that,O,O,0
the,O,O,0
truth,O,O,0
has,O,O,0
become,O,O,0
an,O,O,0
illusion,O,O,0
.,O,O,0
"""",O,O,0
"""",O,O,0
You,O,O,0
should,O,O,0
know,O,O,0
",",O,O,0
that,O,O,0
if,O,O,0
you,O,O,0
come,O,O,0
any,O,O,0
closer,O,O,0
..,O,O,0
I,O,O,0
wo,O,O,0
n't,O,O,0
let,O,O,0
you,O,O,0
go,O,O,0
.,O,O,0
"""",O,O,0
#NowPlaying,O,O,0
Get,MISC,O,1
Another,MISC,O,1
Boyfriend,MISC,O,1
of,O,O,0
@USER1659,O,O,0
#baseball,O,O,0
Bengie,PER,PER,0
Molina,PER,PER,0
considers,O,O,0
retirement,O,O,0
after,O,O,0
World,MISC,MISC,0
Series,MISC,MISC,0
URL87,O,O,0
#championLife,O,O,0
RT,O,O,0
@USER2393,O,O,0
:,O,O,0
Lakers,ORG,ORG,0
game,O,O,0
wo,O,O,0
n't,O,O,0
start,O,O,0
until,O,O,0
they,O,O,0
get,O,O,0
those,O,O,0
rings,O,O,0
right,O,O,0
?,O,O,0
See,O,O,0
you,O,O,0
at,O,O,0
10:45,O,O,0
#howcome,O,O,0
condoms,O,O,0
smell,O,O,0
so,O,O,0
bad,O,O,0
!!!!!!,O,O,0
#nothappy,O,O,0
that,O,O,0
Adelaide,ORG,LOC,1
has,O,O,0
lost,O,O,0
the,O,O,0
#rugbysevens,O,O,0
.,O,O,0
@USER1012,O,O,0
&,O,O,0
I,O,O,0
are,O,O,0
talking,O,O,0
about,O,O,0
optics,O,O,0
entrepreneurship,O,O,0
&,O,O,0
"""",O,O,0
the,MISC,MISC,0
Actuality,MISC,MISC,0
story,MISC,MISC,0
"""",O,O,0
tonight,O,O,0
Media,ORG,MISC,1
Lab,ORG,MISC,1
E14,O,O,0
-,O,O,0
525,O,O,0
6,O,O,0
p,O,O,0
-,O,O,0
8,O,O,0
p,O,O,0
for,O,O,0
URL51,O,O,0
1,O,O,0
",",O,O,0
2,O,O,0
",",O,O,0
3,O,O,0
",",O,O,0
4,O,O,0
",",O,O,0
5,O,O,0
Teen,MISC,O,1
Titans,MISC,ORG,1
